"","state","differences"
"1","Alabama",-17.5323529411765
"2","Alaska",-11.675
"3","Arizona",-13.2
"4","Arkansas",-18.2842105263158
"5","California",-13.1152542372881
"6","Colorado",-13.1622950819672
"7","Connecticut",-10.5555555555556
"8","Delaware",-12.625
"9","District Of Columbia",-13.8
"10","Florida",-13.9411764705882
"11","Georgia",-15.99625
"12","Hawaii",-16.84
"13","Idaho",-11.6333333333333
"14","Illinois",-14.0747572815534
"15","Indiana",-16.4075268817204
"16","Iowa",-16.809
"17","Kansas",-18.1962264150943
"18","Kentucky",-16.0942148760331
"19","Louisiana",-18.3261538461538
"20","Maine",-12.4352941176471
"21","Maryland",-12.852
"22","Massachusetts",-10.2933333333333
"23","Michigan",-12.1904761904762
"24","Minnesota",-14.0602272727273
"25","Mississippi",-17.8734939759036
"26","Missouri",-17.3137931034483
"27","Montana",-11.4052631578947
"28","National",-13.9
"29","Nebraska",-18.1914893617021
"30","Nevada",-14.1777777777778
"31","New Hampshire",-11.4090909090909
"32","New Jersey",-12.3409090909091
"33","New Mexico",-15.5382352941176
"34","New York",-12.1063492063492
"35","North Carolina",-16.6534653465347
"36","North Dakota",-17.2722222222222
"37","Ohio",-15.5696629213483
"38","Oklahoma",-17.3461538461538
"39","Oregon",-11.1081081081081
"40","Pennsylvania",-15.8838235294118
"41","Rhode Island",-10.5666666666667
"42","South Carolina",-18.663829787234
"43","South Dakota",-16.6
"44","Tennessee",-14.9864583333333
"45","Texas",-19.0854901960784
"46","Utah",-9.62
"47","Vermont",-11.7333333333333
"48","Virginia",-16.2453846153846
"49","Washington",-11.3675
"50","West Virginia",-18.5464285714286
"51","Wisconsin",-9.76712328767123
"52","Wyoming",-14.0375
